   wage_per_hour  union  education_yrs  experience_yrs  age  female  marr  \,    south  manufacturing  construction  
0            5.10      0              8              21   35       1     1   ,0       0              1             0  
1            4.95      0              9              42   57       1     1   ,1       0              1             0  
2            6.67      0             12               1   19       0     0   ,2       0              1             0  
3            4.00      0             12               4   22       0     0   ,3       0              0             0  
4            7.50      0             12              17   35       0     1   ,4       0              0             0  
5           13.07      1             13               9   28       0     0   ,5       0              0             0  
6            4.45      0             10              27   43       0     0   ,6       1              0             0  
7           19.47      0             12               9   27       0     0   ,7       0              0             0  
8           13.28      0             16              11   33       0     1   ,8       0              1             0  
9            8.75      0             12               9   27       0     0   ,9       0              0             0  
10          11.35      1             12              17   35       0     1   ,10      0              0             0  
11          11.50      1             12              19   37       0     0   ,11      0              1             0  
12           6.50      0              8              27   41       0     1   ,12      1              0             0  
13           6.25      1              9              30   45       0     0   ,13      1              0             0  
14          19.98      0              9              29   44       0     1   ,14      1              0             0  
15           7.30      0             12              37   55       0     1   ,15      0              0             1  
16           8.00      0              7              44   57       0     1   ,16      1              0             0  
17          22.20      1             12              26   44       0     1   ,17      0              1             0  
18           3.65      0             11              16   33       0     0   ,18      0              0             0  
19          20.55      0             12              33   51       0     1   ,19      0              0             0  
20           5.71      1             12              16   34       1     1   ,20      0              1             0  
21           7.00      1              7              42   55       0     1   ,21      0              1             0  
22           3.75      0             12               9   27       0     0   ,22      0              0             0  
23           4.50      0             11              14   31       0     1   ,23      1              0             0  
24           9.56      0             12              23   41       0     1   ,24      0              0             0  
25           5.75      0              6              45   57       0     1   ,25      1              1             0  
26           9.36      0             12               8   26       0     1   ,26      0              1             0  
27           6.50      0             10              30   46       0     1   ,27      0              0             0  
28           3.35      0             12               8   26       1     1   ,28      0              1             0  
29           4.75      0             12               8   26       0     1   ,29      0              0             0
30           8.90      0             14              13   33       0     0   ,30      0              0             0  
31           4.00      0             12              46   64       1     0   ,31      1              0             0  
32           4.70      0              8              19   33       0     1   ,32      0              0             0  
33           5.00      0             17               1   24       1     0   ,33      1              0             0  
34           9.25      0             12              19   37       0     0   ,34      0              1             0  
35          10.67      0             12              36   54       0     0   ,35      0              0             0  
36           7.61      0             12              20   38       0     1   ,36      1              0             1  
37          10.00      1             12              35   53       0     1   ,37      0              0             1  
38           7.50      0             12               3   21       0     0   ,38      0              0             0  
39          12.20      0             14              10   30       0     1   ,39      1              1             0  
40           3.35      0             12               0   18       0     0   ,40      0              0             0  
41          11.00      1             14              14   34       0     1   ,41      1              1             0  
42          12.00      0             12              14   32       0     1   ,42      0              1             0  
43           4.85      0              9              16   31       1     1   ,43      0              1             0  
44           4.30      0             13               8   27       0     0   ,44      1              0             1  
45           6.00      0              7              15   28       1     1   ,45      1              1             0  
46          15.00      0             16              12   34       0     1   ,46      0              1             0  
